## All WHO countries DO NOT MODIFY UUID!
"defaultName","externalId","isoCode","unoCode","archived","subcontinent","uuid"
"Afghanistan",8501,"AFG",4,"FALSE","Southern Asia","020c502d-7a0c-4ac2-9ed6-0f6a184c9833"
"Albania",8201,"ALB",8,"FALSE","Southeast Europe","5f53a884-018d-420b-9ecd-f1804456bb35"
"Algeria",8304,"DZA",12,"FALSE","Northwest Africa","0b6f9337-798d-4420-ab22-7b5715153fdf"
"Andorra",8202,"AND",20,"FALSE","Western Europe","522e6ecc-bc0b-4e9a-8e0f-5a916bb9855f"
"Angola",8305,"AGO",24,"FALSE","Southwest Africa","b90d5ee2-2cd7-4570-bf0d-7a2cd10c11b6"
"Antigua and Barbuda",8442,"ATG",28,"FALSE","Central America","98d860b6-8afc-44cb-8ef3-7e7036bf5c75"
"Argentina",8401,"ARG",32,"FALSE","South America","70fa00b5-86f9-49ec-8f2f-59fd51ef2783"
"Armenia",8560,"ARM",51,"FALSE","Middle East","2ce96046-8dcd-4e46-808e-9cc8373792ee"
"Australia",8601,"AUS",36,"FALSE","Australia (Subcontinent)","8dceabb9-bc2e-4a19-838b-444d664b9a58"
"Austria",8229,"AUT",40,"FALSE","Central Europe","e2370a7c-5672-4cd9-9d37-b9306f13fc29"
"Azerbaijan",8561,"AZE",31,"FALSE","Middle East","29220597-6bed-46d4-93dc-904337ac667a"
"Bahamas",8402,"BHS",44,"FALSE","Central America","4264d095-74d5-43b9-bb5a-a076c80473e4"
"Bahrain",8502,"BHR",48,"FALSE","Southwest Asia","f263f384-6487-4333-a555-36cca1d0b0b8"
"Bangladesh",8546,"BGD",50,"FALSE","Southern Asia","7bcdedfd-9687-4039-b418-f36db6537394"
"Barbados",8403,"BRB",52,"FALSE","Central America","54490ed0-ff16-4144-8ef4-66ca7dfac2a0"
"Belarus",8266,"BLR",112,"FALSE","Eastern Europe","4e922d58-e69e-4349-873d-e385c1d96bde"
"Belgium",8204,"BEL",56,"FALSE","Western Europe","9962025c-4202-415f-aeae-d527d61cbc22"
"Belize",8419,"BLZ",84,"FALSE","Central America","d96b9b52-ccb9-4897-9e4e-970db393ec86"
"Benin",8309,"BEN",204,"FALSE","Western Africa","e1145e4d-6676-4d31-ac37-0e614329a4cd"
"Bhutan",8503,"BTN",64,"FALSE","Southern Asia","fa06d5bc-77c8-463c-b9e6-b5d66b294e04"
"Bolivia (Plurinational State of)",8405,"BOL",68,"FALSE","South America","c12e4f6b-4a6a-4d03-bbea-ce5dd6add6fa"
"Bosnia and Herzegovina",8252,"BIH",70,"FALSE","Southeast Europe","e1acdd63-6f4f-4b08-a52b-6c0ef4c549f3"
"Botswana",8307,"BWA",72,"FALSE","Southern Africa","cbc5f35a-8a12-479d-950d-24a85353f163"
"Brazil",8406,"BRA",76,"FALSE","South America","97bd9274-c3bb-4144-ac8b-235ec8ee6623"
"Brunei Darussalam",8504,"BRN",96,"FALSE","Southern Asia","93035219-fc9c-4536-8950-ee372f79e816"
"Bulgaria",8205,"BGR",100,"FALSE","Southeast Europe","e92c6fb6-bc54-4c1f-b66e-c11d92b9621a"
"Burkina Faso",8337,"BFA",854,"FALSE","Western Africa","bc25a32f-158c-4794-9d60-e46fc108eb21"
"Burundi",8308,"BDI",108,"FALSE","Eastern Africa","968bd901-e110-4704-aa33-7cea0c3eceba"
"Cabo Verde",8319,"CPV",132,"FALSE","Western Africa","3f06ae51-e08b-4ab4-b544-c4a3ef21fec8"
"Cambodia",8518,"KHM",116,"FALSE","Southeast Asia","e5d211e1-a211-4780-adf5-50e055280a4e"
"Cameroon",8317,"CMR",120,"FALSE","Central Africa","d2a86e3a-6b61-4e50-8064-c27af667dfc0"
"Canada",8423,"CAN",124,"FALSE","North America","bcad2808-8119-403a-aecd-e5193bbcffd5"
"Central African Republic",8360,"CAF",140,"FALSE","Central Africa","9ccf3cfe-cb55-4421-b660-6240ae67ce3d"
