## All subcontinents DO NOT MODIFY UUID!
"defaultName","externalId","archived","continent","uuid"
"Northern Africa",31001112,"FALSE","Africa","a6c5d81e-75f8-4729-b363-2a9d7cc59cd5"
"Northeast Africa",41000012,"FALSE","Africa","ef64129c-4be0-410b-a2b0-4526e00b319b"
"Northwest Africa",41000014,"FALSE","Africa","aa5baf2a-b875-4c34-85ce-00a6206f03ee"
"Eastern Africa",31001114,"FALSE","Africa","45c38b86-42b5-4571-8e81-02c00802d866"
"Southern Africa",31001116,"FALSE","Africa","3f1cc6d3-8bfd-4632-8c32-19a801d65a89"
"Southeast Africa",41000023,"FALSE","Africa","c5119584-bab1-430e-b4ce-749cf1ab2ebd"
"Southwest Africa",41000026,"FALSE","Africa","364c31e1-fec8-4a42-80ac-4b5dcec1f506"
"Western Africa",31001113,"FALSE","Africa","6ead9c74-9373-4ad9-94aa-f73e4b0c2c2d"
"Central Africa",31001115,"FALSE","Africa","918ffc2f-4f9a-4ffe-ae50-8df42f55bac1"
"Central America",31000011,"FALSE","America","5b7e0168-c1da-4754-8746-f7fcaf6f8460"
"North America",31000009,"FALSE","America","ac7a9be9-f728-4dab-96e1-531033f9ad2c"
"South America",31000013,"FALSE","America","2e76106c-6ee9-46d4-a2de-65db082a2bc4"
"Eastern Asia",31002849,"FALSE","Asia","746e6e6c-070b-42fb-a5e2-e9c1cc27d395"
"Southern Asia",31002851,"FALSE","Asia","b237f7fc-1feb-49bf-82ca-8c620611913f"
"Southeast Asia",31002850,"FALSE","Asia","1250ce44-a7d3-4a02-a55b-8e3aee1cbde2"
"Southwest Asia",41000027,"FALSE","Asia","de73f938-34e3-4065-b44a-28ba200e9f48"
"Middle East",31002852,"FALSE","Asia","049e7685-b76e-4811-b48a-964fdd619e7f"
"Central Asia",31002847,"FALSE","Asia","ee3fd254-2681-4a40-ba15-69cfdbeb7b6b"
"Australia (Subcontinent)",41000006,"FALSE","Australia (Continent)","dc2da68c-1b0f-4eca-b629-3bd3506a45ba"
"Oceania",21000500,"FALSE","Australia (Continent)","dd454d1f-0d14-4c26-b1a2-dea8e4febed5"
"Central Europe",41000008,"FALSE","Europe","5464b8d5-1982-4749-ada0-1238b0e1612e"
"Northern Europe",41000011,"FALSE","Europe","632a9438-5f46-4b67-b169-c6ff2d2d886c"
"Northeast Europe",41000013,"FALSE","Europe","3d6a7e7b-29c7-4287-b971-ab85e624c7bb"
"Eastern Europe",41000017,"FALSE","Europe","d9f5b388-9cea-46c5-b97b-6e7a2180bbc2"
"Southern Europe",41000022,"FALSE","Europe","167d6dad-c52d-4ed0-90a8-ac89d7c61dce"
"Southeast Europe",41000025,"FALSE","Europe","0fc4c73b-4f52-4fd1-b4b1-ef19e6e10ed3"
"Western Europe",41000030,"FALSE","Europe","d0ec407b-857a-49fa-906a-b41db6088b9b"
